상품명,평점,평가수
삼성전자 갤럭시 워치 골프 에디션 42mm,,
APPLE 워치 시리즈5 에르메스 40mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,,
APPLE 워치 시리즈5 나이키+ 44mm Cellular 실버 알루미늄 케이스,,
APPLE 워치 시리즈5 44mm Cellular 골드 알루미늄 케이스,,
APPLE 워치 시리즈3 나이키+ 42mm Cellular 알루미늄 케이스,,
lemfo LT04,,
Allcall W1,,
아비람 S2,,
Rundi QW16,,
APPLE 워치 시리즈4 44mm Cellular 스테인리스 스틸 케이스,,
IWOWN I5 Plus 스마트밴드,,
vidonn X6,,
APPLE 워치 시리즈5 40mm Cellular 스페이스 그레이 알루미늄 케이스,,
런타스틱 모멘트 펀,,
XGODY NX2,,
SONY 스마트밴드 Talk SWR30,,
SONY 스마트워치2 SW2,,
APPLE 워치 시리즈5 에르메스 44mm Cellular 스테인리스 스틸 케이스,,
"삼성전자 기어S2 밴드 클래식, SKT",,
CF18,,
zeblaze Thor 4 Pro LTE,,
ASUS 젠워치,92,28
아이디어뱅크 A2,92,1298
FS08,73,12
DM98 3G,87,15
APPLE 워치 시리즈4 나이키+ 44mm 알루미늄 케이스,100,2
Razer Nabu Watch,77,12
코아 CK HR,95,4
"SONY 스마트워치, MN2",95,4
DM99,83,76
Z30,60,2
삼성전자 기어2 네오,100,1
APPLE 워치 시리즈5 나이키+ 40mm Cellular 스페이스 그레이 알루미늄 케이스,75,4
화웨이 아너 Zero,90,145
화웨이 아너밴드 4,85,51
lemfo LES2,,
ASUS 젠워치2,,
화웨이 AF500,,
핏빗 Surge,,
페블 스마트워치,,
샤오미 어메이즈핏 페이스 2 스포츠,,
Britz 브리츠액세서리즈 BA-SW5 Light,,
M7S,,
GT103,,
R11S,,
APPLE 워치 시리즈5 나이키+ 40mm Cellular 실버 알루미늄 케이스,,
핏빗 Flex 2,,
Garmin 비보핏 피트니스 밴드,,
Diggro DB-05,,
인바디 인바디밴드2,,
코아 CKS COLOR,,
APPLE 워치 시리즈3 42mm Cellular 스테인리스 스틸 케이스,100,1
"APPLE 워치 42mm, 해외구매",92,296
핏빗 alta HR,96,62
C1S,60,1
샤오미 미 밴드 1S,100,1
Razer NABU X,60,1
R13,100,3
노키아 스틸 HR 하이브리드,90,50
오키텔 A29,93,111
삼성전자 기어2,100,1
APPLE 워치 시리즈5 에디션 40mm Cellular 스페이스 블랙 티타늄 케이스,80,1
Newwear Q6,88,2
Microwear L3,80,227
핏빗 Blaze,,1
U Watch U8 PLUS,,
삼성전자 갤럭시 기어,,
Diggro DI09,,
폴라 V800,,
King-Wear GV68,,
Meco B15S,,
삼성전자 기어S2 3G,,
zeblaze Crystal MTK2502,,
LG전자 워치 어베인,,
SKMEI 1285,,
코아 CK7,,
런타스틱 모멘트 엘리트,,
APPLE 워치 시리즈4 44mm Cellular 알루미늄 케이스,,
zeblaze Vibe,,
F7 스마트워치,,
Diggro G16,,
SONY 라이브뷰 MN800,84,36
E02,94,19
핏빗 Versa,80,1
V6,80,4
런타스틱 모멘트 베이직,80,1
APPLE 워치 시리즈3 38mm Cellular 스테인리스 스틸 케이스,20,1
DM58,100,1
파슬 미스핏 샤인2,,
Garmin 비보스마트4,,
삼성전자 기어S2,,
King-Wear KW06,,
화웨이 화웨이 워치,,
Polar M600,,
런타스틱 모멘트 클래식,,
ID130,,
폴라 A360,,
파트론 크로이스.E 어반 밴드,,
Epson 런센스 Wristable SF-310G,,
APPLE 워치 스포츠 42mm,,
CB608,,
화웨이 B29 GPS,,
Microsoft BAND 2,,
T02,,
Zanmax FR930,,
iMacwear Sparta M7,,
L12S,,
U Watch U9,,
모토로라 모토 360,,
V07S,,
XGODY DM68,,
INSMA S1,100,4
Withings 액티비티 팝,80,10
화웨이 토크밴드 B3 라이트,100,1
APPLE 워치 스포츠 38mm,60,2
나이키 나이키+ 스포츠워치 GPS (WM0072-077),95,166
Epson 런센스 Wristable SF-810B,86,10
H8 여성용 스마트워치,92,40
SONY 스마트밴드2 SWR12,86,25
코지토 COGITO Classic,100,1
Polar M430,60,2
W529,100,1
Epson 런센스 Wristable SF-850PB,80,1
핏빗 Charge 2,80,2
런타스틱 오빗,100,2
Diggro T20,90,426
핏빗 alta,,
샤오미 화미 어메이즈핏 문빔,,
핏빗 Flex,,
아비람 A4 COLOR,,
조본 UP2,,
Withings 액티비티 스틸,,
핏빗 Charge,,
조본 UP3,,
화웨이 토크밴드 B2,,
Diggro F07,,
SONY FES Watch,,
코지토 COGITO FIT,,
ZGPAX S99 3G,,
코아 CK COLOR,,
폴라 M400,,
퓨전FNC VPULSE Fit-Coach Go DHR,84,48
미오 퓨즈,87,3
화웨이 토크밴드 B1,93,3
Withings 위딩스 펄스,88,64
Garmin 비보스마트 HR 액티비티 트래커,60,2
조본 UP,100,2
Diggro DB-07,100,1
레노버 HX06,70,2
직토 워크,100,11
화웨이 아너 A3,80,1
파슬 미스핏 레이,78,12
M3S,95,19
조본 UP4,,
Chuangzaozhe W5,,
신우전자 PE-775,,
조본 UP24,,
샤오미 화미 어메이즈핏 GTR Lite 47mm,,
삼성전자 갤럭시 워치 액티브2 40mm 언더아머 에디션,,
ECG HR 스마트밴드,,
APPLE 워치 시리즈4 나이키+ 40mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈4 40mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈4 나이키+ 44mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈3 나이키+ 42mm 알루미늄 케이스,,
레노버 HW01,,
유니콘 SH-700T,,
삼성전자 기어S 3G,,
퓨전FNC VPULSE Fit-Coach Go DHR,84,48
미오 퓨즈,87,3
화웨이 토크밴드 B1,93,3
Withings 위딩스 펄스,88,64
Garmin 비보스마트 HR 액티비티 트래커,60,2
조본 UP,100,2
Diggro DB-07,100,1
레노버 HX06,70,2
직토 워크,100,11
화웨이 아너 A3,80,1
파슬 미스핏 레이,78,12
M3S,95,19
조본 UP4,,
Chuangzaozhe W5,,
신우전자 PE-775,,
조본 UP24,,
샤오미 화미 어메이즈핏 GTR Lite 47mm,,
삼성전자 갤럭시 워치 액티브2 40mm 언더아머 에디션,,
ECG HR 스마트밴드,,
APPLE 워치 시리즈4 나이키+ 40mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈4 40mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈4 나이키+ 44mm Cellular 알루미늄 케이스,,
APPLE 워치 시리즈3 나이키+ 42mm 알루미늄 케이스,,
레노버 HW01,,
유니콘 SH-700T,,
삼성전자 기어S 3G,,
